 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 3194 ; 1 хеллер. Австрия ; 1859А ;  ; Cu ; F-VF ; 76 ; pvg ; 148 
 3195 ; 1 крона. Швеция ; 1937 ;  ; Ag ; VF- ; 53 ; letchik91 ; 238 
 3196 ; 1 крона. Швеция ; 1950 ;  ; Ag ; VF ; 56 ; letchik91 ; 132 
 3197 ; 1 крона. Швеция ; 1945 ;  ; Ag ; VF- ; 13 ; Northman ; 108 
 3198 ; 1 крона. Швеция ; 1956 ;  ; Ag ; XF ; 61 ; aleX13 ; 125 
 3199 ; 50 эре. Швеция ; 1956 ;  ; Ag ; XF ; 65 ; Northman ; 105 
 3200 ; 25 эре. Швеция ; 1953 ;  ; Ag ; XF ; 30 ; Northman ; 90 
 3201 ; 10 эре. Швеция ; 1938 ;  ; Ag ; VF+ ; 70 ; Northman ; 83 
 3202 ; 10 эре. Швеция ; 1953 ;  ; Ag ; XF ; 26 ; Ghjcnj ; 76 
 3203 ; 1 эре. Швеция ; 1712 ;  ; Cu ; F ; 22 ; dsp ; 327 
 3204 ; 5 марок. Эстония ; 1924 ;  ; Ni/Br ; VF- ; 62 ; von_Schwarz ; 473 
 3205 ; 5 марок. Эстония ; 1922 ;  ; Cu/Ni ; VF- ; 45 ; vengriya ; 312 
 3206 ; 1 марка. Эстония ; 1922 ;  ; Cu/Ni ; VF ; 23 ; vengriya ; 181 
 3207 ; 2 марки. ФРГ. Людвиг Эрхард ; 1992G ;  ; Cu/Ni ; VF-XF ; 21 ; 542 ; 164 
 3208 ; 2 марки. ФРГ. Франц Йозеф Штраус ; 1990G ;  ; Cu/Ni ; VF+ ; 19 ; lubopitnaja ; 147 
 3209 ; 1 марка. Германия ; 1934D ;  ; Cu/Ni ; VF ; 43 ; _1111_ ; 294 
 3210 ; 10 филлеров. Венгрия ; 1909 ;  ; Cu/Ni ; VF- ; 69 ; pvg ; 83 
 3211 ; Монета иностранная. М-3,06гр ;  ;  ; Cu ; F+ ; 27 ; $$$ ; 300 
 3212 ; 2 злотых. Польша. Животные мира. Длинномордый тюлень ; 2007 ;  ; Латунь ; AU ; 33 ; 1gold ; 204 
 3213 ; 1 лит. Литва. Чемпионат Европы по баскетболу (баксетбольный мяч) ; 2011 ;  ; Cu/Ni ; AU ; 45 ; rem16 ; 177 
 3214 ; 1 цент. США ; 2010D ;  ; Cu ; XF+ ; 21 ; С Урала ; 22 
 3215 ; 5 центов. США ; 2011D ;  ; Cu/Ni ; AU ; 24 ; asparagus ; 24 
 3216 ; 500 лир. Италия ; 1995 ;  ; Би/м ; AU ; 2 ; yurrgen ; 26 
 3217 ; 5 центов. Тринидад и Тобаго ; 2004 ;  ; Cu ; AU ; 20 ; 100924 ; 57 
 3218 ; 1 песета. Испания. Чемпионат ира по футболу Испания 1982г ; 1980 ;  ; Al/Br ; XF ; 22 ; Aleks72 ; 155 
 3219 ; 5 песет. Испания. Чемпионат ира по футболу Испания 1982г ; 1980 ;  ; Cu/Ni ; XF ; 22 ; Aleks72 ; 40 
 3220 ; 25 песет. Испания. Чемпионат ира по футболу Испания 1982г ; 1980 ;  ; Cu/Ni ; XF ; 38 ; Aleks72 ; 48 
 3221 ; 100 песет. Испания. 50 лет ФАО ; 1995 ;  ; Al/Br ; XF ; 19 ; Aleks72 ; 147 
 3222 ; 10 шиллингов. Сомалиленд. Знаки зодиака. Козерог ; 2006 ;  ; St ; AU ; 4 ; asparagus ; 36 
 3223 ; 10 франков. Марокко ; 1371л.х. (1952) ;  ; Al/Br ; VF ; 14 ; yurrgen ; 61 
 3224 ; 1 шиллинг. Западная Африка ; 1950 ;  ; Cu/Ni ; VF ; 61 ; andreyM ; 102 
 3225 ; 5 центов. Нидерландские Антиллы ; 1981 ;  ; Cu/Ni ; AU ; 20 ; vc57 ; 39 
 3226 ; 1 марка. Германия ; 1956А ;  ; Al ; VF ; 25 ; letchik91 ; 29 
 3227 ; 1 доллар. США. 200 лет независмости ; 1976 ;  ; Cu/Ni ; XF- ; 87 ; lielais ; 320 
 3128 ; 5 тетри. Грузия ; 1993 ;  ; St ; AU ; 31 ; t_v_v ; 31 
 3129 ; 1 фунт. Египет ; 2007 ;  ; Би/м ; AU ; 13 ; t_v_v ; 28 
 3130 ; 50 бутутов. Гамбия ; 1971 ;  ; Cu/Ni ; AU ; 76 ; кве ; 171 
 3131 ; 1 соль. Перу. 400 лет нумихматике Лимы ; 1965 ;  ; Латунь ; VF+ ; 36 ; aurin1 ; 83 
 3132 ; 50 сантимов. Испания ; 1949 ;  ; Cu/Ni ; VF+ ; 35 ; Aleks72 ; 116 
 3133 ; 1 франк. Люксембург ; 1946 ;  ; Cu/Ni ; VF ; 42 ; av ; 40 
 3134 ; 1 франк. Люксембург ; 1957 ;  ; Cu/Ni ; XF ; 29 ; av ; 43 
 3135 ; 1 пенни. Австралия ; 1911 ;  ; Br ; F-VF ; 31 ; MC17 ; 40 
 3136 ; 2 милс. Палестина ; 1927 ;  ; Cu ; VF- ; 49 ; patap100 ; 188 
 3137 ; 5 сенти. Литва ; 1925 ;  ; Al/Br ; VF- ; 99 ; pvg ; 457 
 3138 ; 25 аурар. Исландия ; 1923 ;  ; Cu/Ni ; VF ; 86 ; 1456 ; 389 
 3139 ; 2 сентаво. Аргентина ; 1893 ;  ; Cu ; F-VF ; 41 ; alexnn ; 75 
 3140 ; 1/2 пенни. Южная Африка ; 1929 ;  ; Cu ; VF- ; 11 ; atos51 ; 265 
 3141 ; 5 сантими. Латвия ; 1922 ;  ; Cu ; VF- ; 51 ; E.C. ; 110 
 3142 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; XF ; 37 ; olga42 ; 46 
 3143 ; 1 пенни. Великобритания ; 1936 ;  ; Br ; VF ; 31 ; olga42 ; 40 
 3144 ; 1 пенни. Австралия ; 1943 ;  ; Br ; VF- ; 49 ; sivid ; 77 
 3145 ; 1 пенни. Великобритания ; 1947 ;  ; Br ; VF-XF ; 18 ; Garrik 56 ; 27 
 3146 ; 1 пенни. Великобритания ; 1966 ;  ; Br ; XF- ; 15 ; alex995 ; 18 
 3147 ; 1/2 цента. Нидерланды ; 1884 ;  ; Cu ; F-VF ; 34 ; alexnn ; 113 
 3148 ; 10 сантимов. Бельгия ; 1862 ;  ; Cu/Ni ; VF- ; 26 ; alexnn ; 69 
 3149 ; 5 чентезими. Италия ; 1861 ;  ; Br ; VF+ ; 85 ; lubopitnaja ; 157 
 3150 ; 2 толари. Словения ; 2000 ;  ; Латунь ; AU ; 12 ; taigist ; 22 
 3151 ; 1 франк. Тунис ; 1945 ;  ; Al/Br ; F-VF ; 34 ; ИЮМов1 ; 165 
 3152 ; 50 пфеннигов. Германия ; 1929 ;  ; Cu/Ni ; VF+ ; 52 ; mezenat ; 167 
 3153 ; 100 злотых. Польша. Винценты Витос ; 1984 ;  ; Cu/Ni ; AU ; 17 ; BarnabyRadj ; 75 
 3154 ; 1 фартинг. Великобритания ; 1944 ;  ; Cu ; VF ; 21 ; olga42 ; 63 
 3155 ; 5 чентезими. Италия ; 1925 ;  ; Cu ; VF ; 26 ; Northman ; 72 
 3156 ; 1 пайс. Индия ; 1951 ;  ; Cu ; VF- ; 31 ; alskr ; 65 
 3157 ; 1/2 доллара. США. 100 лет статуе Свободы ; 1986 ;  ; Cu/Ni ; Proof ; 70 ; Золотой хомяк ; 612 
 3158 ; 1 доллар. Канада. Калгари ; 1975 ;  ; Ag ; Unc ; 58 ; митяй ; 612 
 3159 ; 1 марка. Финляндия ; 1944 ;  ; Fe ; VF- ; 39 ; buver ; 104 
 3160 ; 1 доллар. США ; 1971 ;  ; Cu-Ni ; XF- ; 48 ; demonspb ; 150 
 3161 ; 1 доллар. США ; 1972 ;  ; Cu-Ni ; XF- ; 24 ; Gell13 ; 153 
 3162 ; 1 доллар. США ; 1974 ;  ; Cu-Ni ; XF- ; 48 ; demonspb ; 150 
 3163 ; 2 евро. Образец. Литва ; 2003 ;  ; Би/м ; AU ; 16 ; vladimir-sirke ; 331 
 3164 ; 2 евро. Образец. Чехия ; 2003 ;  ; Би/м ; AU ; 20 ; vladimir-sirke ; 279 
 3165 ; 2 евро. Образец. Латвия ; 2003 ;  ; Би/м ; AU ; 28 ; vladimir-sirke ; 281 
 3166 ; 1/4 доллара. США. Округ Колумбия ; 2009D ;  ; Cu-Ni ; AU ; 21 ; 542 ; 102 
 3167 ; 1/4 доллара. США. Американские Виргинские острова ; 2009P ;  ; Cu-Ni ; AU ; 17 ; ADD ; 105 
 3168 ; 1/4 доллара. США. Пуэрто-Рико ; 2009P ;  ; Cu-Ni ; AU ; 15 ; 542 ; 102 
 3169 ; 1/4 доллара. США. Гуам ; 2009P ;  ; Cu-Ni ; AU ; 14 ; AGM62 ; 100 
 3170 ; 1/4 доллара. США. Северные Марианские острова ; 20099 ;  ; Cu-Ni ; AU ; 23 ; 542 ; 102 
 3171 ; 1/4 доллара. США. Американское Самоа ; 2009P ;  ; Cu-Ni ; AU ; 27 ; 542 ; 102 
 3172 ; 1/4 доллара. США. Йосемитский национальный парк ; 2010P ;  ; Cu-Ni ; AU ; 20 ; Gell13 ; 39 
 3173 ; 1/4 доллара. США. Национальный лес Маунд Худ ; 2010P ;  ; Cu-Ni ; AU ; 11 ; Gell13 ; 37 
 3174 ; 1/4 доллара. США. Национальный парк Хот-Спрингс ; 2010D ;  ; Cu-Ni ; AU ; 32 ; mezenat ; 59 
 3175 ; 1/4 доллара. США. Национальный парк Гранд-Каньон ; 2010P ;  ; Cu-Ni ; AU ; 39 ; Gell13 ; 59 
 3176 ; 1/4 доллара. США. Йеллоустоунский национальный парк ; 2010P ;  ; Cu-Ni ; AU ; 29 ; Gell13 ; 57 
 3177 ; 1/4 доллара. США. Национальный парк Глейшер ; 2011D ;  ; Cu-Ni ; AU ; 22 ; Gell13 ; 54 
 3078 ; 2 цента. Фиджи, Елизавета II ; 2001 ;  ; Br ; AU ; 14 ; Drill ; 46 
 3079 ; 25 центов. Канада, Елизавета II.Население ; 2000 ;  ; Ni/Fe ; AU ; 13 ; Моряк-собиратель ; 91 
 3080 ; 10 центов. Канада, Елизавета II. Парусник ; 1975 ;  ; Ni/Fe ; Proof-Like ; 24 ; Моряк-собиратель ; 102 
 3081 ; 50 рупий. Индонезия. Птица ; 2002 ;  ; Al ; VF ; 24 ; alskr ; 26 
 3082 ; 5 центов. Острова Кука, Елизавета II ; 2010 ;  ; Cu/Fe ; XF ; 14 ; Drill ; 77 
 3083 ; 5 сентаво. Бразилия ; 2002 ;  ; Cu/Fe ; VF ; 21 ; Northman ; 22 
 3084 ; 2 пфеннига. Брауншвейг-Вольфенбюттель, Вильгельм (1831-1884) ; 1851B ;  ; Br ; VF- ; 54 ; кве ; 493 
 3085 ; 2 пфеннига. Саксен-Мейнинген, Бернхард (1803-1866) ; 1833 ;  ; Br ; F-VF ; 28 ; к216 ; 155 
 3086 ; 1 пфенниг. Гессен-Дармштадт, Людвиг III (1848-1877) ; 1866 ;  ; Br ; VF- ; 15 ; к216 ; 171 
 3087 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; XF- ; 64 ; lutik ; 310 
 3088 ; 1 шиллинг. Великобритания, Георг VI ; 1938 ;  ; Ag ; VF+ ; 58 ; DUNKANM ; 357 
 3089 ; 1 пенни. Великобритания, Георг V ; 1917 ;  ; Br ; F+ ; 12 ; yurrgen ; 53 
 3090 ; 1 шиллинг. Британская Восточная Африка, Георг V ; 1924 ;  ; Ag ; F+ ; 40 ; alexnn ; 320 
 3091 ; 50 центов (1/2 шиллинга). Британская Восточная Африка, Георг VI ; 1942 ;  ; Ag ; F-VF ; 93 ; alexnn ; 329 
 3092 ; 1/2 пенни. Британская Австралия, Георг V ; 1916 ;  ; Br ; VF- ; 29 ; taigist ; 74 
 3093 ; 1/2 пенни. Британская Австралия, Георг VI ; 1951 ;  ; Br ; VF ; 29 ; taigist ; 75 
 3094 ; 10 центов. Нидерланды, Вильгельмина ; 1941 ;  ; Ag ; XF ; 41 ; _1111_ ; 116 
 3095 ; 50 пиастров. Ливан ; 1952 ;  ; Ag ; AU ; 125 ; aurin1 ; 451 
 3096 ; 20 пара. Египет, Османская Империя, Абдул Азиз ; 1865 (1277/6 л.х.) ;  ; Cu ; F-VF ; 81 ; micha375 ; 319 
 3097 ; 40 пара. Турция, Османская Империя, Мухаммад V ; 1913 (1327/5 л.х.) ;  ; Ni ; F+ ; 14 ; aurin1 ; 101 
 3098 ; 20 пара. Турция, Османская Империя, Мухаммад V ; 1912 (1327/4 л.х.) ;  ; Ni ; F+ ; 94 ; aurin1 ; 157 
 3099 ; 10 крон. Швеция, Карл XVI Густав ; 2007 ;  ; Br ; AU ; 17 ; alex995 ; 35 
 3100 ; 2 доллара. Гонконг (Сянган) ; 1997 ;  ; Ni ; VF ; 22 ; aurin1 ; 33 
 3101 ; 10 сен. Япония. 7-й год Сёва ; 1932 ;  ; Ni ; VF ; 115 ; Aleks72 ; 248 
 3102 ; 1 рубль. Белоруссия. Легенда про черепаху ; 2010 ;  ; Cu/Ni ; Proof ; 46 ; aurin1 ; 211 
 3103 ; 1 рубль. Белоруссия. Птичка года ; 2010 ;  ; Cu/Ni ; Proof ; 35 ; ML ; 312 
 3104 ; 1 рубль. Белоруссия. "Силичи" ; 2006 ;  ; Cu/Ni ; Proof ; 24 ; vladzory ; 175 
 3105 ; 1 рубль. Белоруссия. "Седов" ; 2008 ;  ; Cu/Ni ; Proof ; 39 ; Aleks72 ; 390 
 3106 ; 1 рубль. Белоруссия. 65 лет освобождения ; 2009 ;  ; Cu/Ni ; Proof ; 32 ; env ; 359 
 3107 ; 3 пенса. Великобритания ; 1897 ;  ; Ag ; VF+ ; 61 ; 16 ; 569 
 3108 ; 2 злотых. Польша. Миечов ; 2010 ;  ; Латунь ; AU ; 19 ; patap100 ; 86 
 3109 ; 2 злотых. Польша. Принятие Польши в ЕС ; 2011 ;  ; Латунь ; AU ; 42 ; vc57 ; 86 
 3110 ; 2 злотых. Польша. Чеслав Милош ; 2011 ;  ; Латунь ; AU ; 16 ; SSS200 ; 82 
 3111 ; 2 злотых. Польша. Млава ; 2011 ;  ; Латунь ; AU ; 26 ; taigist ; 100 
 3112 ; 2 злотых. Польша. 60 лет победы ; 2005 ;  ; Латунь ; AU ; 20 ; env ; 86 
 3113 ; 5 лит. Литва ; 2009 ;  ; Би/м ; AU ; 23 ; krugerrand ; 46 
 3114 ; 5 вон. Южная Корея ; 1983 ;  ; латунь ; AU ; 53 ; ML ; 160 
 3115 ; 1 динар. Югославия ; 1990 ;  ; Cu-Ni ; XF- ; 16 ; lessnoy ; 24 
 3116 ; 1 йен. Северная Корея ; 1987 ;  ; Al ; AU ; 32 ; Недорого ; 101 
 3117 ; 1 крона. Исландия ; 1978 ;  ; Al ; XF ; 66 ; lessnoy ; 107 
 3118 ; 2 злотых. Польша ; 2007 ;  ; Латунь ; AU ; 32 ; taigist ; 82 
 3119 ; Монета медная. Бухара ;  ;  ; Cu ; F ; 37 ; ВМШ ; 153 
 3120 ; 6 пенсов. Великобритания ; 1940 ;  ; Ag ; VF+ ; 57 ; alexnn ; 285 
 3121 ; 6 пенсов. Великобритания ; 1945 ;  ; Ag ; F-VF ; 33 ; letchik91 ; 188 
 3122 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; VF ; 38 ; letchik91 ; 177 
 3123 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; VF ; 11 ; BarnabyRadj ; 108 
 3124 ; 50 сантимов. Франция ; 1913 ;  ; Ag ; F-VF ; 68 ; alexnn ; 137 
 3125 ; 25 эре. Швеция ; 1905 ;  ; Ag ; F-VF ; 77 ; Northman ; 153 
 3126 ; 25 эре. Швеция ; 1950 ;  ; Ag ; VF-XF ; 49 ; Northman ; 93 
 3127 ; 50000 лир. Турция. ФАО ; 1999 ;  ; Al ; AU ; 60 ; Aleks72 ; 128 
 3028 ; 1/4 доллара. США. Оклахома ; 2008D ;  ; Cu-Ni ; AU ; 33 ; lielais ; 120 
 3029 ; 1/4 доллара. США. Аляска ; 2008D ;  ; Cu-Ni ; AU ; 40 ; 542 ; 92 
 3030 ; 1/4 доллара. США. Ньюхемпшер ; 2000D ;  ; Cu-Ni ; AU ; 16 ; mezenat ; 57 
 3031 ; 1/4 доллара. США. Западная Виргиния ; 2005D ;  ; Cu-Ni ; AU ; 26 ; Drunja33 ; 71 
 3032 ; 1/4 доллара. США. Южная Каролина ; 2000D ;  ; Cu-Ni ; AU ; 22 ; Kotoff ; 42 
 3033 ; 1/4 доллара. США. Нью Йорк ; 2001D ;  ; Cu-Ni ; AU ; 25 ; Kotoff ; 44 
 3034 ; 2 динара. Сербия ; 1897 ;  ; Ag ; VF+ ; 63 ; Ясер ; 638 
 3035 ; 1 франг ар. Албания ; 1935 ;  ; Ag ; VF-XF ; 43 ; riga1979 ; 536 
 3036 ; 100 рейс. Португалия ; 1910 ;  ; Ag ; XF+ ; 88 ; riga1979 ; 1530 
 3037 ; 1 лек. Албания ; 1931 ;  ; Ni ; VF- ; 48 ; riga1979 ; 149 
 3038 ; 1 лек. Албания ; 1939 ;  ; Cu/Ni ; XF- ; 40 ; riga1979 ; 189 
 3039 ; 100 злотых. Польша. Винценты Витос ; 1984 ;  ; Cu/Ni ; AU ; 38 ; obr73 ; 79 
 3040 ; 20 злотых. Польша. Марсель Новотко ; 1974 ;  ; Cu/Ni ; XF ; 35 ; demonspb ; 40 
 3041 ; 10 франков. Франция ; 1948 ;  ; Cu/Ni ; VF-XF ; 29 ; Northman ; 59 
 3042 ; 5 эре. Норвегия ; 1965 ;  ; Cu ; VF ; 42 ; lielais ; 46 
 3043 ; 5 центов. США ; 1936 ;  ; Ni ; F+ ; 21 ; Aleks72 ; 184 
 3044 ; 1/4 анны. Мускат и Оман ; XIX в ;  ; Cu ; VF- ; 49 ; LEBAMBA ; 261 
 3045 ; 10 пфеннигов. Нотгельд, Халле ; 1920 ;  ; Fe ; F-VF ; 29 ; patap100 ; 184 
 3046 ; 1 пайса. Бахавалпур ; 1342/1343л.х. ;  ; Cu ; F-VF ; 12 ; Aleks72 ; 124 
 3047 ; 1 марка. Германия, Нотгельд, Болдиксум ;  ;  ; керамика ; AU ; 43 ; hugo ; 1207 
 3048 ; 50 пфеннигов. Германия, Нотгельд, Болдиксум ;  ;  ; керамика ; AU ; 56 ; _1111_ ; 971 
 3049 ; 1 марка. Германия, Нотгельд, Фрейбург ; 1921 ;  ; керамика ; AU ; 63 ; Freezzzz ; 1544 
 3050 ; 25 пфеннигов. Германия, Нотгельд, Фрейбург ; 1921 ;  ; керамика ; AU ; 47 ; Freezzzz ; 1340 
 3051 ; 75 пфеннигов. Германия, Нотгельд, Китцинген ; 1921 ;  ; керамика ; AU ; 87 ; hugo ; 1513 
 3052 ; 50 пфеннигов. Германия, Нотгельд, Гота ; 1921 ;  ; керамика ; AU ; 32 ; _1111_ ; 1020 
 3053 ; 25 пфеннигов. Германия, Нотгельд, Амберг ; 1921 ;  ; керамика ; AU ; 25 ; Freezzzz ; 567 
 3054 ; 10 пфеннигов. Германия, Нотгельд, Мюнстерберг ;  ;  ; керамика ; AU ; 38 ; Sky2 ; 623 
 3055 ; 50 пфеннигов. Германия, Мейсен ; 1921 ;  ; керамика ; AU ; 38 ; Sky2 ; 623 
 3056 ; 30 пфеннигов. Германия, Мейсен ; 1921 ;  ; керамика ; AU ; 14 ; hugo ; 714 
 3057 ; 1 лит. Литва ; 1925 ;  ; Ag ; F-VF ; 39 ; letchik91 ; 202 
 3058 ; 10 монго. Монголия ; 1937 ;  ; Cu-Ni ; VF ; 75 ; Tche ; 255 
 3059 ; 10 песо. Куба. Парусник "Santisima trinidad" ; 2002 ;  ; Ag ; Proof ; 47 ; Tche ; 3100 
 3060 ; 1 доллар. Китай, провинция Фунзянь. Дракон. С надчеканом ; ND (1895-1907) ;  ; Ag ; F-VF ; 97 ; Aleks72 ; 9617 
 3061 ; 50 центов. Китай, провинция Кирин. Заделано отверстие 12 часов ; 1900-1905 ;  ; Ag ; VF- ; 12 ; Aleks72 ; 1587 
 3062 ; 20 центов. Китай, провинция Аньхуэй и Цзянсу ; 1905 ;  ; Ag ; F-VF ; 44 ; Aleks72 ; 1020 
 3063 ; 1 доллар. Гон-Конг, Елизавета II ; 1987 ;  ; Cu/Ni ; XF- ; 24 ; Drill ; 88 
 3064 ; 1/4 доллара. США ; 1979 ;  ; Cu/Ni ; VF- ; 5 ; demonspb ; 25 
 3065 ; 5 центов. США ; 1965 ;  ; Cu/Ni ; VF- ; 11 ; demonspb ; 24 
 3066 ; 1/4 рупии. Маврикий, Елизавета II ; 1964 ;  ; Cu/Ni ; AU ; 26 ; andreyM ; 80 
 3067 ; 1/4 рупии. Маврикий, Елизавета II ; 1971 ;  ; Cu/Ni ; VF+ ; 48 ; letchik91 ; 72 
 3068 ; 10 центов. Малайя ; 1950 ;  ; Cu/Ni ; XF ; 19 ; AGM62 ; 65 
 3069 ; 10 долларов. Тайвань ; 1991 ;  ; Cu/Ni ; VF- ; 35 ; Aleks72 ; 71 
 3070 ; 1 рупия. Индия ; 1985 ;  ; Cu/Ni ; VF ; 42 ; aurin1 ; 42 
 3071 ; 50 центов. Цейлон ; 1975 ;  ; Cu/Ni ; VF ; 10 ; alskr ; 28 
 3072 ; 5 бани. Румыния ; 1906 ;  ; Cu/Ni ; VF- ; 42 ; MDV ; 63 
 3073 ; 20 пенсов. Джерси, Елизавета II ; 2009 ;  ; Cu/Ni ; XF ; 48 ; Drill ; 51 
 3074 ; 10 чентезими. Италия. Пчела ; 1982 ;  ; Cu ; F-VF ; 45 ; _1111_ ; 104 
 3075 ; 5 чентезими. Италия ; 1921 ;  ; Cu ; VF- ; 11 ; yurrgen ; 38 
 3076 ; 1 гривна. Украина. 65 лет победы ; 2010 ;  ; Al/Br ; AU ; 45 ; vc57 ; 55 
 3077 ; 2 цента. Маврикий, Елизавета II ; 1962 ;  ; Br ; VF ; 54 ; alskr ; 118 
 2978 ; 1/2 доллара. США. Всемирная выставка. Колумб ; 1893 ;  ; Ag ; VF-XF ; 53 ; delf ; 867 
 2979 ; 10 злотых. Польша. Йозеф Пилсудский ; 1935 ;  ; Ag ; VF+ ; 71 ; zelya ; 677 
 2980 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 62 ; expeditor_78 ; 227 
 2981 ; 25 эре. Швеция ; 1931 ;  ; Ag ; VF ; 18 ; Northman ; 88 
 2982 ; 1 цент. США ; 1859 ;  ; Cu-Ni ; F-VF ; 53 ; gabbels ; 1019 
 2983 ; 1 цент. США ; 1863 ;  ; Cu-Ni ; F-VF ; 65 ; gabbels ; 1019 
 2984 ; 5 пфеннигов. Данциг ; 1923 ;  ; Cu-Ni ; VF+ ; 61 ; vc57 ; 293 
 2985 ; 1 пфенниг. Данциг ; 1930 ;  ; Br ; VF+ ; 35 ; MDV ; 348 
 2986 ; 5 грошей. Польша ; 1928 ;  ; Br ; F-VF ; 19 ; MDV ; 261 
 2987 ; 1 сент. Испания. Альфонсо XIII ; 1906V ;  ; Br ; XF+ ; 96 ; Aleks72 ; 327 
 2988 ; 1 лира. Турция. Слон ; 2009 ;  ; Би/м ; AU ; 43 ; smel ; 135 
 2989 ; 1 лира. Турция. Черепаха ; 2009 ;  ; Би/м ; AU ; 34 ; Mike! ; 113 
 2990 ; 1 фунт. Египет ; 20 век ;  ; Би/м ; AU ; 20 ; Aleks72 ; 41 
 2991 ; 1 фунт. Египет ; 20 век ;  ; Би/м ; AU ; 19 ; Aleks72 ; 71 
