 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 3076 ; 3 пенса. Новая Зеландия. Георг V ; 1934 ;  ; Ag ; VF+ ; 26 ; suhua ; 105 
 3077 ; 3 пенса. Новая Зеландия. Георг VI ; 1937 ;  ; Ag ; VF+ ; 63 ; pissimist ; 95 
 3078 ; 3 пенса. Новая Зеландия. Георг VI ; 1937 ;  ; Ag ; VF-XF ; 48 ; suhua ; 122 
 3079 ; 6 пенсов. Австралия. Георг VI ; 1938 ;  ; Ag ; VF ; 19 ; suhua ; 99 
 3080 ; 6 пенсов. Австралия. Георг VI ; 1942 ;  ; Ag ; VF-XF ; 16 ; krugerrand ; 174 
 3081 ; 6 пенсов. Австралия. Георг VI ; 1945 ;  ; Ag ; VF+ ; 37 ; suhua ; 104 
 3082 ; 6 пенсов. Австралия. Георг VI ; 1950 ;  ; Ag ; VF+ ; 21 ; suhua ; 105 
 3083 ; 20 сентим. Уругвай ; 1942 ;  ; Ag ; VF-XF ; 9 ; Sterh ; 96 
 3084 ; 25 эре. Швеция ; 1936 ;  ; Ag ; VF ; 29 ; AMZYA ; 104 
 3085 ; 10 сент. Нидерланды ; 1941 ;  ; Ag ; AU ; 11 ; Freezzzz ; 160 
 3086 ; 10 сент. Нидерланды ; 1941 ;  ; Ag ; AU ; 36 ; revun ; 159 
 3087 ; 1/2 риала. Оман ; 20 век ;  ; Ag ; VF-XF ; 35 ; suhua ; 499 
 3088 ; 10 сент. Нидерланды. Вильем III ; 1889 ;  ; Ag ; VF ; 19 ; zelya ; 204 
 3089 ; 10 сентаво. Филиппины ; 1907 ;  ; Ag ; VF ; 30 ; nbvv ; 207 
 3090 ; 10 сентаво. Филиппины ; 1941 ;  ; Ag ; VF+ ; 28 ; ML ; 105 
 3091 ; 5 франков. Франция ; 1960 ;  ; Ag ; XF- ; 15 ; suhua ; 332 
 3092 ; 5 франков. Франция ; 1963 ;  ; Ag ; XF ; 19 ; suhua ; 332 
 3093 ; 5 франков. Швейцария ; 1966В ;  ; Ag ; AU ; 27 ; Vasya ; 499 
 3094 ; 2 кроны. Швеция. 400 лет политической свободы Швеции ; 1921 ;  ; Ag ; AU ; 60 ; lielais ; 1660 
 3095 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; XF+ ; 18 ; lielais ; 229 
 3096 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 15 ; опричник ; 190 
 2997 ; 20 бат. Тайланд. 36 лет Раме IX ; ND (1963) ;  ; Ag ; AU ; 45 ; suhua ; 969 
 2998 ; 1/10 гульдена. Нидерландская Индия ; 1942S ;  ; Ag ; AU ; 35 ; Freezzzz ; 153 
 2999 ; 1/10 гульдена. Нидерландская Индия ; 1941S ;  ; Ag ; XF+ ; 33 ; hugo ; 101 
 3000 ; 1/10 гульдена. Нидерландские Антиллы ; 1966 ;  ; Ag ; AU ; 65 ; suhua ; 214 
 3001 ; 5 злотых. Польша ; 1933 ;  ; Ag ; XF ; 13 ; lielais ; 334 
 3002 ; 2 кроны. Швеция ; 1939 ;  ; Ag ; AU ; 78 ; lielais ; 698 
 3003 ; 2 кроны. Швеция ; 1943 ;  ; Ag ; XF ; 32 ; koga ; 220 
 3004 ; 2 кроны. Швеция ; 1957 ;  ; Ag ; XF ; 21 ; suhua ; 255 
 3005 ; 10 долларов. Тринидад и Тобаго ; 1973 ;  ; Ag ; Proof ; 60 ; Ybrjkfif ; 1734 
 3006 ; 25 песо. Аргентина. Иберо-Америка ; 2002 ;  ; Ag ; Proof ; 40 ; Ясер ; 2042 
 3007 ; 10 долларов. Восточные Карибские территории. Королевская свадьба ; 1981 ;  ; Ag ; Proof ; 42 ; shest ; 1773 
 3008 ; 10 песо. Куба. Корабль "Санта-Мария" ; 2001 ;  ; Ag ; Proof ; 25 ; Ясер ; 2029 
 3009 ; 10 долларов. Восточные Карибские штат. ФАО. Пятна, следы хранения ; 1981 ;  ; Ag ; Proof ; 27 ; николаевич8 ; 714 
 3010 ; 5 лева. Болгария ; 1894 ;  ; Ag ; VF- ; 24 ; Searcher ; 1148 
 3011 ; 5 франков. Франция ; 1849А ;  ; Ag ; VF+ ; 49 ; адвокат1 ; 1197 
 3012 ; 5 франков. Франция. Наполеон ; 1812А ;  ; Ag ; VF ; 54 ; funcash ; 3044 
 3013 ; 1 крона. Великобритания. 25-лети правления Георга V ; 1935BM ;  ; Ag ; AU ; 74 ; bondars ; 1599 
 3014 ; 1 крона Великобритания. Коронация Георга VI ; 1937 ;  ; Ag ; AU ; 47 ; 1177 ; 1385 
 3015 ; 1/2 кроны. Великобритания. Георг V ; 1923 ;  ; Ag ; VF+ ; 123 ; Searcher ; 383 
 3016 ; 1 флорин. Великобритания. Георг V ; 1923 ;  ; Ag ; VF ; 46 ; murew ; 317 
 3017 ; 1 флорин. Великобритания. Георг V ; 1933 ;  ; Ag ; VF+ ; 59 ; lielais ; 461 
 3018 ; 1 шиллинг. Великобритания. Георг IV ; 1826 ;  ; Ag ; VF+ ; 26 ; Сакович ; 842 
 3019 ; 1 шиллинг. Великобритания. Виктория. Золотой юбилей ; 1887JEB ;  ; Ag ; VF+ ; 69 ; lielais ; 567 
 3020 ; 6 пенсов. Великобритания ; 1834 ;  ; Ag ; VF- ; 32 ; vol ; 384 
 3021 ; 3 пенса. Великобритания. Виктория. Золотой юбилей ; 1891 ;  ; Ag ; VF+ ; 33 ; sibtec ; 387 
 3022 ; 3 пенса. Великобритания. Виктория ; 1898 ;  ; Ag ; VF-XF ; 16 ; suhua ; 257 
 3023 ; 3 пенса. Великобритания. Виктория ; 1900 ;  ; Ag ; VF-XF ; 64 ; krugerrand ; 260 
 3024 ; 3 пенса. Великобритания. Георг V ; 1926 ;  ; Ag ; VF-XF ; 37 ; dgekson ; 204 
 3025 ; 1 флорин-2 шиллинга. Австралия. Георг V ; 1926 ;  ; Ag ; VF- ; 53 ; AMZYA ; 469 
 3026 ; 1 шиллинг. Фиджи. Георг V ; 1935 ;  ; Ag ; VF+ ; 51 ; aleX13 ; 623 
 3027 ; 1 рупия. Британская Индия ; 1906 ;  ; Ag ; VF-XF ; 38 ; kgu ; 725 
 3028 ; 8 реалов. Мексика ; 1878 ;  ; Ag ; XF- ; 43 ; aziat ; 1485 
 3029 ; 20 сентаво. Мексика ; 1906 ;  ; Ag ; VF+ ; 20 ; suhua ; 334 
 3030 ; 1 песо. Куба. Юбилей 100 лет ; 1953 ;  ; Ag ; XF ; 25 ; kgu ; 950 
 3031 ; 20 сентаво. Куба ; 1915 ;  ; Ag ; VF+ ; 31 ; SadKo ; 344 
 3032 ; 100 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 77 ; Freezzzz ; 1326 
 3033 ; 50 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 30 ; Freezzzz ; 1020 
 3034 ; 100 милс. Палестина ; 1927 ;  ; Ag ; VF+ ; 24 ; xabib ; 976 
 3035 ; 50 милс. Палестина ; 1939 ;  ; Ag ; VF-XF ; 6 ; xabib ; 459 
 3036 ; 1/2 доллара. США. Всемирная выставка. Колумб ; 1893 ;  ; Ag ; VF+ ; 57 ; Doca ; 710 
 3037 ; 1/2 доллара. США. Букер Т Вашингтон ; 1946 ;  ; Ag ; AU ; 31 ; suhua ; 648 
 3038 ; 1/2 доллара. США. Кеннади ; 1964 ;  ; Ag ; XF+ ; 34 ; cochu ; 462 
 3039 ; 1/2 доллара. США. Кеннади ; 1968D ;  ; Ag ; AU ; 78 ; Aleks72 ; 461 
 3040 ; 2 лира. Италия. Умберто I ; 1882 ;  ; Ag ; VF+ ; 21 ; Ясер ; 704 
 3041 ; 25 центов. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; VF-XF ; 26 ; krugerrand ; 163 
 3042 ; 25 центов. Канада. Георг VI ; 1917 ;  ; Ag ; VF ; 28 ; AGM62 ; 255 
 3043 ; 10 центов. Канада. Георг VI ; 1931 ;  ; Ag ; VF ; 55 ; СВл ; 405 
 3044 ; 5 сентаво. Гватемала ; 1955 ;  ; Ag ; VF-XF ; 7 ; бормоглот ; 104 
 3045 ; 1 крона. Швеция. Густав V ; 1966U ;  ; Ag ; XF- ; 44 ; опричник ; 165 
 3046 ; 100 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF-XF ; 24 ; Ley ; 412 
 2947 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; XF- ; 15 ; yrik ; 255 
 2948 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF-XF ; 17 ; zelya ; 255 
 2949 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF-XF ; 18 ; zelya ; 247 
 2950 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF/XF ; 21 ; yrik ; 244 
 2951 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF-XF ; 19 ; zelya ; 240 
 2952 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938D ;  ; Ag ; VF-XF ; 27 ; Foks ; 246 
 2953 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938D ;  ; Ag ; VF-XF ; 15 ; Foks ; 255 
 2954 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938E ;  ; Ag ; VF-XF ; 20 ; swimen ; 291 
 2955 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; XF ; 18 ; Freezzzz ; 255 
 2956 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; XF- ; 31 ; zelya ; 250 
 2957 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; XF- ; 23 ; yrik ; 255 
 2958 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; VF-XF ; 21 ; vitapool ; 236 
 2959 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; VF+ ; 40 ; Aleks72 ; 426 
 2960 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; VF+ ; 28 ; yrik ; 250 
 2961 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; VF ; 31 ; vitapool ; 250 
 2962 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; VF- ; 36 ; vitapool ; 207 
 2963 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939B ;  ; Ag ; XF- ; 23 ; suhua ; 296 
 2964 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939B ;  ; Ag ; VF- ; 26 ; Foks ; 267 
 2965 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939D ;  ; Ag ; VF-XF ; 16 ; yrik ; 255 
 2966 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939D ;  ; Ag ; VF ; 33 ; paxa ; 264 
 2967 ; 1 марка. Германия ; 1924А ;  ; Ag ; VF ; 31 ; Vasya ; 638 
 2968 ; 1/2 марки. Германия ; 1913А ;  ; Ag ; XF+ ; 23 ; 206811 ; 230 
 2969 ; 1 грош. Ганновер ; 1864B ;  ; Ag ; VF+ ; 18 ; амбал ; 365 
 2970 ; 1/2 зильбергроша. Германия, Саксен-Веймар-Эйзенах, Карл Фридрих (1828-1853) ; 1840A ;  ; Ag ; F+ ; 26 ; ИЮМов1 ; 223 
 2971 ; 5 лат. Латвия ; 1929 ;  ; Ag ; XF+ ; 36 ; дуболом ; 1283 
 2972 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF+ ; 164 ; lielais ; 1037 
 2973 ; 5 лат. Латвия ; 1932 ;  ; Ag ; XF+ ; 24 ; lielais ; 1257 
 2974 ; 5 песет. Испания ; 1888 ;  ; Ag ; VF-XF ; 20 ; Aleks72 ; 1326 
 2975 ; 5 лир. Италия ; 1873 ;  ; Ag ; XF ; 44 ; Ясер ; 2360 
 2976 ; 1 доллар (1 унция). США ; 1989 ;  ; Ag ; AU ; 80 ; Дядя Саша ; 1758 
 2977 ; 1 доллар (1 унция). США ; 1987 ;  ; Ag ; AU ; 48 ; BOLMAR ; 1678 
 2978 ; 1 доллар. США ; 1921 ;  ; Ag ; VF-XF ; 22 ; suhua ; 1594 
 2979 ; 5 песо. Мексика ; 1948 ;  ; Ag ; AU ; 47 ; FEDOTOV1920 ; 1575 
 2980 ; 5 песо. Мексика ; 1947 ;  ; Ag ; AU ; 42 ; max2008 ; 1994 
 2981 ; 100 песо. Мексика ; 1978 ;  ; Ag ; XF+ ; 57 ; suhua ; 918 
 2982 ; 1 ранд. ЮАР ; 1976 ;  ; Ag ; AU ; 34 ; maremark ; 625 
 2983 ; 1 фунт. Египет. Президент Нассер ; 1970 ;  ; Ag ; AU ; 53 ; Ясер ; 1588 
 2984 ; 1 фунт. Египет. 1000 лет Мечети Аль-Азхар ; 1970-1972 ;  ; Ag ; AU ; 32 ; Vasya ; 1062 
 2985 ; 2 пиастра. Египта ; 1937 ;  ; Ag ; AU ; 45 ; Vasya ; 373 
 2986 ; 1 риал. Саудовская Аравия ; 1950 ;  ; Ag ; AU ; 89 ; maremark ; 760 
 2987 ; 1/2 доллара. США. Кеннеди ; 1968D ;  ; Ag ; AU ; 117 ; oldmaster ; 605 
 2988 ; 1/2 доллара. США. Кеннеди ; 1964 ;  ; Ag ; AU ; 83 ; oldmaster ; 601 
 2989 ; 1 дайм. США. Меркури ; 1942 ;  ; Ag ; AU ; 58 ; Freezzzz ; 384 
 2990 ; 1 дайм. США. Меркури ; 1944 ;  ; Ag ; XF+ ; 18 ; лаботряс ; 301 
 2991 ; 10 сентаво. Филиппины ; 1945D ;  ; Ag ; XF ; 9 ; Freezzzz ; 153 
 2992 ; 3 пенса. ЮАР ; 1964 ;  ; Ag ; AU ; 21 ; suhua ; 153 
 2993 ; 3 пенса. ЮАР ; 1960 ;  ; Ag ; AU ; 15 ; suhua ; 152 
 2994 ; 20 сентимо. Уругвай ; 1954 ;  ; Ag ; AU ; 25 ; suhua ; 306 
 2995 ; 50 центов. Ботсвана. Независимость ; 1966 ;  ; Ag ; AU ; 90 ; aleX13 ; 669 
 2996 ; 20 сантимов. Французский Индо-Китай ; 1937 ;  ; Ag ; AU ; 101 ; М662 ; 1029 
 2897 ; 3 марки. Шаумбург-Липпе. На смерть принца Георга ; 1911A ;  ; Ag ; AU/XF ; 25 ; Alexdav ; 4624 
 2898 ; 3 марки. Бавария. 90 лет со дня рождения Принца-регета Люитпольда ; 1911D ;  ; Ag ; AU ; 48 ; талерс ; 1479 
 2899 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911F ;  ; Ag ; AU ; 35 ; Flagman ; 1734 
 2900 ; 3 марки. Бавария ; 1912D ;  ; Ag ; XF ; 65 ; FEDOTOV1920 ; 952 
 2901 ; 3 марки. Баден. Фридрих II ; 1912G ;  ; Ag ; VF-XF ; 59 ; адвокат1 ; 944 
 2902 ; 3 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; XF/XF+ ; 27 ; нэри ; 1326 
 2903 ; 3 марки. Саксония. Битва под Лейпцигом ; 1913E ;  ; Ag ; VF-XF ; 30 ; kgu ; 1030 
 2904 ; 3 марки. Пруссия ; 1914A ;  ; Ag ; XF ; 21 ; талерс ; 867 
 2905 ; 3 марки. Сакс-Веймар-Айзенах. 100 лет ; 1915A ;  ; Ag ; AU ; 39 ; нумизмат ; 7362 
 2906 ; 3 марки. Веймар. 10 лет конституции Веймара ; 1929A ;  ; Ag ; AU ; 91 ; verba ; 1701 
 2907 ; 2 марки. Саксония. Альберт ; 1877Е ;  ; Ag ; VF+ ; 24 ; Vasya ; 1129 
 2908 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; XF+ ; 40 ; vvt ; 849 
 2909 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; XF ; 57 ; ясень ; 945 
 2910 ; 2 марки. Саксония. На смерть Альберта ; 1902E ;  ; Ag ; XF+ ; 56 ; Vasya ; 3609 
 2911 ; 2 марки. Бавария ; 1906D ;  ; Ag ; XF ; 44 ; vol ; 929 
 2912 ; 2 марки. Бавария. 90 лет со дня рождения принца-регета Люитпольда ; 1911D ;  ; Ag ; AU ; 24 ; vvt ; 1004 
 2913 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 28 ; 01 ; 1087 
 2914 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; XF ; 74 ; SBl ; 903 
 2915 ; 2 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; XF ; 58 ; Aleks72 ; 906 
 2916 ; 2 рейхсмарки. Германия ; 1925А ;  ; Ag ; VF ; 37 ; Mike! ; 691 
 2917 ; 2 марки. Германия. 450 лет со дня рождения Мартина Лютера ; 1933А ;  ; Ag ; VF-XF ; 29 ; Dbrnjh ; 1360 
 2918 ; 2 марки. Германия. Подписная Кирха ; 1934A ;  ; Ag ; VF+ ; 22 ; SANGOLD1 ; 414 
 2919 ; 2 марки. Германия. Подписная Кирха ; 1934А ;  ; Ag ; VF ; 32 ; Aleks72 ; 391 
 2920 ; 2 марки. Германия. Пауль фон Гинденбург ; 1936D ;  ; Ag ; XF- ; 34 ; Foks ; 408 
 2921 ; 2 марки. Германия. Пауль фон Гинденбург ; 1936D ;  ; Ag ; VF-XF ; 38 ; Foks ; 426 
 2922 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; XF- ; 30 ; zelya ; 261 
 2923 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF-XF ; 35 ; yrik ; 255 
 2924 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF-XF ; 32 ; yrik ; 250 
 2925 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF-XF ; 33 ; yrik ; 250 
 2926 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF+ ; 43 ; nbvv ; 255 
 2927 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF+ ; 29 ; yrik ; 250 
 2928 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF ; 35 ; yrik ; 250 
 2929 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF ; 35 ; zelya ; 252 
 2930 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF- ; 37 ; yrik ; 245 
 2931 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF- ; 35 ; Garrik 56 ; 253 
 2932 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937D ;  ; Ag ; VF-XF ; 28 ; zelya ; 255 
 2933 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937D ;  ; Ag ; VF+ ; 23 ; Foks ; 261 
 2934 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937E ;  ; Ag ; XF- ; 22 ; sibtec ; 309 
 2935 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937F ;  ; Ag ; VF+ ; 8 ; zelya ; 264 
 2936 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937J ;  ; Ag ; VF ; 17 ; yrik ; 255 
 2937 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; XF- ; 24 ; yrik ; 255 
 2938 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF-XF ; 44 ; yrik ; 251 
 2939 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF-XF ; 20 ; 01 ; 261 
 2940 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF+ ; 19 ; yrik ; 250 
 2941 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF ; 24 ; zelya ; 233 
 2942 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF ; 38 ; zelya ; 255 
 2943 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF ; 40 ; yrik ; 250 
 2944 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF ; 26 ; vitapool ; 251 
 2945 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF ; 27 ; yrik ; 250 
 2946 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; F-VF ; 22 ; yrik ; 239 
 2383 ; Лот монет СССР (юбилейные и регулярных выпусков): 1 рубль, 50 коп (10шт) ; 1964-1970 ;  ; Cu-Ni ; VF/VF-XF ; 7 ; Cuff ; 42 
 2384 ; Лот монет СССР (юбилейные и регулярных выпусков): 1 рубль, 50 коп (10шт) ; 1964-1970 ;  ; Cu-Ni ; VF/VF-XF ; 27 ; KVP1 ; 38 
 2385 ; Лот монет СССР (юбилейные и регулярных выпусков): 1 рубль, 50 коп (19шт) На одной монете отверстие ; 1961-1967 ;  ; Cu-Ni ; VF/VF+ ; 47 ; Калян1974 ; 68 
 2386 ; Лот монет СССР (юбилейные): 5,1 рубль (10шт) ; 1977-1990 ;  ; Cu-Ni ; VF-XF/XF ; 52 ; gvv3 ; 94 
 2387 ; Лот монет СССР (Олимпиада): 1 рубль (5шт) ; 1977-1980 ;  ; Cu-Ni ; VF-XF/XF ; 16 ; BOLMAR ; 133 
 2388 ; Лот монет СССР (Олимпиада): 1 рубль (5шт) ; 1977-1980 ;  ; Cu-Ni ; VF-XF/XF ; 42 ; Калян1974 ; 148 
 2389 ; Лот монет СССР (Олимпиада): 1 рубль (3шт) ; 1977-1980 ;  ; Cu-Ni ; VF-XF/XF ; 54 ; KVP1 ; 90 
 2390 ; Лот монет СССР (Олимпиада): 1 рубль (3шт) ; 1977-1980 ;  ;  ; VF-XF/XF ; 25 ; Калян1974 ; 84 
 2855 ; 50 песо. Мексика. 100 лет независимости. М-41,66г ; 1947 ;  ; Au ; AU ; 270 ; 1147 ; 71400 
 2856 ; 20 песо. Мексика. М-16,66г ; 1959 ;  ; Au ; AU ; 218 ; 1147 ; 25500 
 2857 ; 2-1/2 песо. Мексика. М-2,07г ; 1945 ;  ; Au ; AU ; 68 ; 1147 ; 3570 
 2858 ; 2 песо. Мексика. М-1,66г ; 1945 ;  ; Au ; AU ; 94 ; suhua ; 3053 
 2859 ; 1 соверен. Великобритания. М-7,97гр ; 1962 ;  ; Au ; AU ; 19 ; Ley ; 16147 
 2860 ; 20 франков. Бельгия. М-6,44г ; 1914 ;  ; Au ; AU ; 21 ; ксай ; 11674 
