 251 ; Медаль. Майя Плисецкая. " D - 40mm ;  ;  ; Ag ; AU ; 35 ; Karhu ; 9000 
 3361 ; Лот монет Гон-Конга (3шт): 10 центов, 1 доллар ; 1963-1984 ;  ; Ni/Лат, Cu/Ni ; F-VF/VF- ; 4 ; andreyM ; 35 
 3362 ; Лот монет Филиппин (3шт): 5,10 сентимо, 10 сентаво ; 1966-1977 ;  ; Лат, Cu/Zn/Ni,C ; VF-/VF ; 29 ; patap100 ; 53 
 3363 ; Лот монет Морокко (3шт): 10,50 сантимов, 1 дирхам ; 1974-1987 ;  ; Cu/Ni, лат ; F+/F-VF ; 8 ; aurin1 ; 31 
 3364 ; Лот монет Барбадоса, Тринидад и Тобаго, Ямайки (3шт): 5,10,25 центов ; 1984-2007 ;  ; Cu/Ni ; VF/XF ; 19 ; vova10 ; 61 
 3365 ; Лот монет Люксебурга: 5,1 франк (7шт) ; 1958-1987 ;  ; Cu-Ni ; VF/XF ; 43 ; _1111_ ; 124 
 3366 ; Лот монет Люксебурга: 5,1 франк (7шт) ; 1957-1986 ;  ; Cu-Ni ; VF/XF ; 59 ; krugerrand ; 210 
 3367 ; Лот монет Люксебурга: 5,1 франк (7шт) ; 1952-1980 ;  ; Cu-Ni ; VF/VF+ ; 25 ; Ghjcnj ; 126 
 3368 ; Лот монет Люксебурга: 5,1 франк (9шт) ; 1960-1984 ;  ; Cu-Ni ; VF/VF+ ; 28 ; zx123 ; 117 
 3369 ; Лот монет Германии (9шт) ; 1935-1944 ;  ; Zn,Al/Br,Cu ; F+/VF ; 72 ; andreyM ; 496 
 3370 ; Лот монет США (11шт): 1/4 доллара ; 1967-1989 ;  ; Cu/Ni ; VF/XF- ; 56 ; demonspb ; 180 
 3371 ; Лот монет Грузии: 6шт ; 1993-2006 ;  ; Cu-Ni,St ; XF/VF ; 57 ; suhua ; 153 
 3372 ; Лот монет Греции: 3шт ; 1912 ;  ; Cu-Ni ; VF+/VF-XF ; 25 ; BAG ; 188 
 3373 ; Лот монет Швеции: 3шт ; 1899-1907 ;  ; Br ; F-VF/VF ; 22 ; MC17 ; 139 
 3374 ; Лот монет Бельгии: 3шт ; 1941-1946 ;  ; Zn ; F-VF/VF ; 34 ; buver ; 104 
 3375 ; Лот монет ФРГ: 12шт ; 1950-1996 ;  ; Br,лат ; VF/XF ; 6 ; zelya ; 37 
 3376 ; Лот монет Великобритании, Австралии, Швеции, Нидерландов, Франции, Египта (10шт) ; 1856?-1943 ;  ; Ag ; F/F+ ; 22 ; aziya11 ; 885 
 3377 ; Лот монет США: 1,4 доллара, 1 цент (4шт) ; 1946-2002 ;  ; Cu-Ni,Cu-Zn ; VF-/XF ; 22 ; demonspb ; 77 
 3378 ; Лот монет Египта: 3шт ; 1996-2007 ;  ; Би/м,Лат ; AU ; 40 ; Синица ; 113 
 3379 ; Лот монет Азии и Великобритании: 4шт ; 1948,1957,1376лх ;  ; Cu-Ni ; VF/VF+ ; 15 ; aurin1 ; 113 
 3380 ; Лот монет Пруссии, Швеции, Бельгии, Египта, Италии: 7шт (На некоторых монетах отверстия, др.дефекты) ; 1845-1933 ;  ; Cu,Cu-Ni ; F/F+ ; 38 ; MC17 ; 341 
 3381 ; Лот монет Швеции, Гон-Конга, Веймара, Дании, Мальты, Испании: 8шт ; 1922-1986 ;  ; Лат,Cu-Ni ; VF-/VF+ ; 26 ; zx123 ; 213 
 3382 ; Лот монет Швеции: 9шт ; 1964-1988 ;  ; Cu-Ni ; VF/XF ; 6 ; buver ; 25 
 3383 ; Лот монет Африки, Исландии, Коморских островов, Гайаны: 26шт ; 1964-1991 ;  ; Cu-Ni,al,Al/Br, ; F-VF/VF+ ; 46 ; zx123 ; 430 
 3384 ; Лот монет Дании: 5шт ; 1953-1992 ;  ; Cu-Ni,Br ; VF-/VF ; 11 ; buver ; 33 
 3385 ; Лот монет Азии: 16шт ; 1962-1979 ;  ; Cu-Ni,лат ; F-VF/VF ; 64 ; MC17 ; 279 
 3386 ; Лот монет Уругвая: 3шт ; 1981,1989 ;  ; St,Cu-Ni ; VF/XF ; 20 ; StanislavAK ; 79 
 3387 ; Лот монет Кубы: 11шт ; 1946-1988 ;  ; Cu-Ni,Al,лат ; VF-/VF+ ; 46 ; zx123 ; 155 
 3388 ; Лот монет Гон-Конга: 4шт ; 1993-1995 ;  ; Cu-Ni,би/м,лат ; VF-/VF ; 36 ; Farah ; 96 
 3389 ; Лот монет Венгрии: 12шт ; 1594-1989 ;  ; Cu-Ni,Al,лат ; VF-/VF ; 19 ; волга ; 48 
 3390 ; Лот монет Перу: 12шт ; 1942-1992 ;  ; Cu-Ni,лат,Br ; VF-/XF ; 64 ; zx123 ; 268 
 3391 ; Лот монет Израиля: 9шт ;  ;  ; Cu-Ni,Al,лат ; F-VF/VF ; 23 ; StanislavAK ; 33 
 3392 ; Лот монет Германии: 21шт ; 1894-1990 ;  ; Cu-Ni,лат,Zn,Al ; F/VF+ ; 22 ; zelya ; 186 
 3393 ; Лот монет Японии: 6шт ;  ;  ; Cu-Ni,Br,Al ; VF-/VF+ ; 60 ; Farah ; 186 
 3394 ; Лот монет Китая и Кореи: 8шт ; 1959-1989 ;  ; Al,лат ; VF+/XF ; 30 ; taigist ; 75 
 3395 ; Лот монет Тайланда и Камбоджи: 6шт ;  ;  ; Cu-Ni ; VF-/VF ; 14 ; zx123 ; 92 
 3396 ; Лот монет Цейлона и Шри-Ланки: 2шт ; 1967,1991 ;  ; Al ; VF ; 18 ; aurin1 ; 32 
 3397 ; Лот монет Люксембурга: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St, ла ; AU ; 43 ; off ; 391 
 3398 ; Лот монет Бельгии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2007, 2010, 2011 ;  ; Би/м, Cu/St, ла ; AU ; 37 ; sveta6369 ; 226 
 3399 ; Лот монет Финляндии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St, ла ; AU ; 34 ; vladzory ; 244 
 3400 ; Лот монет Германии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2002-2011 ;  ; Би/м, Cu/St, ла ; AU ; 12 ; 231 ; 190 
 3301 ; 2 лева. Болгария. 100 лет Апрельскому восстанию ; 1976 ;  ; Cu-Ni ; Proof ; 9 ; yuri.gruzdev ; 212 
 3302 ; 2 лева. Болгария. 100 лет Апрельскому восстанию ; 1976 ;  ; Cu-Ni ; AU ; 23 ; yuri.gruzdev ; 197 
 3303 ; 2 лева. Болгария. 1300 лет Болгарии. Апрельское восстание ; 1981 ;  ; Cu-Ni ; Proof ; 34 ; yuri.gruzdev ; 248 
 3304 ; 1 доллар. США. В пластикой упаковке ; 1972S ;  ; Ag ; Proof ; 106 ; ronzh ; 1122 
 3305 ; 1 крона. Великобритания. Юбилей 25 лет правления Елизаветы II. В пластикой упаковке ; 1977 ;  ; Cu-Ni ; AU ; 16 ; 1177 ; 261 
 3306 ; 1/2 пенни. Токен. Канада. В капсуле NNC ; 1857 ;  ; Br ; AU50 ; 76 ; Вилкофф ; 710 
 3307 ; 1 марка. Финляндия. В буклете ; 2001 ;  ; Cu-Ni ; AU ; 10 ; dsp ; 361 
 3308 ; 5 динаров. Югославия. Шахматная олимпиада. С сертификатом ; 1990 ;  ; Cu-Ni ; Proof ; 5 ; Mike! ; 172 
 3309 ; Набор монет Канады (7шт): 1доллар, 50,25,10,5,1 цент. В коробке, с сертификатом ; 1979 ;  ; Ni,Br ; Unc ; 2 ; Leonid-82 ; 600 
 3310 ; Набор монет США "100 лет статуе Свободы" (2шт): 1 доллар, 1/2 доллара (с сертификатом). В подарочной коробке ; 1986 ;  ; Ag, Сг/Тш ; Unc ; 81 ; samurai 969 ; 1526 
 3311 ; Набор монет США "Штаты" (5шт): 1/4 доллара. Штаты: Нью Джерси, Коннектикут, Пенсильвания, Делавер, Джорджия. В капсуле, с сертификатом ; 1999 ;  ; Cu/Ni ; Proof ; 75 ; vladimir-sirke ; 408 
 3312 ; Набор монет  США  (5шт): 1/2 доллара, 1/4 доллара, 1 дайм, 5 центов, 1 цент. В капсуле, с сертификатом ; 1994 ;  ; Cu/Ni,Cu/Ni,Zn ; Proof ; 56 ; veter 9 ; 322 
 3313 ; Набот монет США. 200 лет независимости США. 1 доллар, 1/2, 1/4 доллара. Упаковка. С сертификатом ; 1976S ;  ; Ag ; Unc ; 86 ; cvet71 ; 1544 
 3314 ; Лот монет США (2шт): 1/2 доллара ; 1974,1980 ;  ; Cu/Ni ; XF/AU ; 14 ; demonspb ; 115 
 3315 ; Лот монет Великобритании (6шт) ; 1955-1976 ;  ; Cu/Ni ; VF/VF-XF ; 68 ; t_v_v ; 116 
 3316 ; Лот монет Югославии (Битва на Неретве и Сутиеская битва): 2шт ; 1983 ;  ; cu-Ni ; XF ; 3 ; Harlock ; 187 
 3317 ; Лот монет Бурмы: 5шт ;  ;  ; Al ; VF-XF/AU ; 11 ; patap100 ; 137 
 3318 ; Лот монет Югославии: 5шт ; 1992 ;  ; Лат ; AU/XF ; 5 ; Синица ; 306 
 3319 ; Лот монет Заира: 3шт ; 1987,1988 ;  ; Лат ; AU/XF ; 5 ; vova10 ; 240 
 3320 ; Лот монет Венесуэлы: 5шт ; 1978-1989 ;  ; Cu-Ni ; XF/AU ; 5 ; patap100 ; 199 
 3321 ; Лот монет США: 5 центов (5шт) ; 2004-2006 ;  ; Cu-Ni ; XF- ; 43 ; Gell13 ; 42 
 3322 ; Лот монет США: 1/4 доллара (6шт) ; 1984-1997 ;  ; Cu-Ni ; VF/VF+ ; 25 ; Harlock ; 200 
 3323 ; Лот монет ФРГ: 50 пфеннигов, 1 марка (2шт) ; 1989,1994 ;  ; Cu-Ni ; XF/XF+ ; 7 ; 542 ; 34 
 3324 ; Лот монет: 2 евроцента Люксембурга: 42шт ; 2002-2010 ;  ; Cu/St ; XF/AU ; 13 ; vladzory ; 204 
 3325 ; Лот монет:  1 евроцент Люксембурга: 47шт ; 2002-2010 ;  ; Cu/St ; XF/AU ; 13 ; vladzory ; 204 
 3326 ; Лот монет: 5 евроцентов Люксембурга: 15шт ; 2004-2010 ;  ; Cu/St ; XF/AU ; 5 ; Моряк-собиратель ; 66 
 3327 ; Лот монет США (7шт): 5 центов ; 1983-2002 ;  ; Cu/Ni ; XF/AU ; 7 ; demonspb ; 72 
 3328 ; Лот монет США (8шт): 1 дайм ; 1981-1993 ;  ; Cu/Ni ; XF/AU ; 7 ; demonspb ; 82 
 3329 ; Лот монет США (16шт): 1 цент ; 1977-2010 ;  ; Cu ; XF/AU ; 8 ; Habibulin ; 41 
 3330 ; Лот монет США: 1/2,1/4 доллара (3шт) ; 1976-1999 ;  ; Cu-Ni ; XF-/XF+ ; 25 ; demonspb ; 82 
 3331 ; Лот монет Германии: 1 евроцент (4шт) ; 2002A,D,F,J ;  ; Cu-St ; XF-/XF ; 4 ; stivenson ; 5 
 3332 ; Лот евроцентов: 10 евроцентов (4шт) ; 2000,2002 ;  ; Лат ; XF-/XF ; 28 ; vladimir-sirke ; 28 
 3333 ; Лот монет Финляндии: 20,10 евроцентов (2шт) ; 2000,2001 ;  ; Лат ; XF/XF+ ; 6 ; madgestic ; 27 
 3334 ; Лот монет Италии, Германии, Финляндии, Грециии: 20 евроцентов (4шт) ; 2002 ;  ; Лат ; XF-/XF ; 40 ; vladimir-sirke ; 62 
 3335 ; Лот монет Финляндии: 20,10 евроцентов (2шт) ; 2000,2001 ;  ; Лат ; XF/XF+ ; 6 ; madgestic ; 33 
 3336 ; Лот монет Финляндии: 20 евроцентов (3шт) ; 1999,2001,2002 ;  ; Лат ; XF/AU ; 8 ; madgestic ; 29 
 3337 ; Лот монет Испании. Генерал Франко (8шт) ; 1953-1966 ;  ; Cu/Ni,Al/Br,Al ; XF-/AU ; 52 ; micha375 ; 291 
 3338 ; Лот монет Японии  (4шт) ; 20 век ;  ; Cu-Ni, Br, Al ; VF-/XF ; 34 ; zx123 ; 182 
 3339 ; Лот монет Испании (5шт) ; 1957-1989 ;  ; Cu-Ni, ж/м ; VF/XF ; 24 ; Cuff ; 45 
 3340 ; Лот монет Швеции: 4шт ; 1981-2002 ;  ; Cu-Ni,Лат ; VF+/XF ; 22 ; buver ; 32 
 3341 ; Лот монет Финляндии: 5 евроцентов (5шт) ; 1999,2000,2001,2002 ;  ; Cu-St ; VF+/VF-XF ; 22 ; Cuff ; 24 
 3342 ; Лот монет Израиля, Египта, Иордании, Тайланда: 11шт ;  ;  ; Би/м ; VF/XF ; 15 ; zx123 ; 78 
 3343 ; Лот монет Чешской Р.,Швеции, Франции, Польши, Антильских островов, Украины и Болгарии: 16шт ; 1992-2001 ;  ; Cu-Ni,Лат,Би/м ; VF/XF ; 14 ; Cuff ; 114 
 3344 ; Лот монет Польши, Болгарии, Чехии, Литвы, Украины, Молдавии: 17шт ; 1992-2004 ;  ; Cu-Ni,Лат,Би/м ; VF/VF-XF ; 25 ; t_v_v ; 86 
 3345 ; Лот монет Словении, Болгарии, Польши, Норвегии, Финляндии, Украины: 16шт ; 1992-1999 ;  ; Cu-Ni,Лат,Би/м, ; VF/VF-XF ; 26 ; волга ; 80 
 3346 ; Лот монет Финляндии: 5,10,20 евроцентов (3шт) ; 1999 ;  ; Cu-St,Лат ; VF/XF ; 16 ; alex995 ; 25 
 3347 ; Лот монет Германии: 1 евроцент (5шт) ; 2002,2004 ;  ; Cu-St ; VF/VF-XF ; 15 ; Cuff ; 17 
 3348 ; Лот монет Финляндии: 5 евроцентов (3шт) ; 1999,2000 ;  ; Cu-St ; VF/VF+ ; 18 ; Cuff ; 18 
 3349 ; Лот монет Австрии и Германии: 1,2,5 евроцентов (9шт) ; 2002-2004 ;  ; Cu-St ; VF/XF ; 16 ; Cuff ; 23 
 3350 ; Лот монет ФРГ: 4шт ; 1958-1994 ;  ; Br,Лат ; VF/VF+ ; 17 ; xct ; 26 
 3251 ; 1 цент. Гон-Конг ; 1902 ;  ; Cu ; F ; 22 ; 542 ; 61 
 3252 ; 50 пфеннигов. Германия ; 1950G ;  ; Cu/Ni ; F-VF ; 18 ; madgestic ; 26 
 3253 ; 20 чентезими. Италия ; 1908 ;  ; Ni ; F-VF ; 36 ; dgekson ; 104 
 3254 ; Пайса. Индия, Бахавалпур, Садиг Мухаммад  хан V ; 1907-1947 ;  ; Cu ; VF ; 18 ; micha375 ; 143 
 3255 ; Пайса. Индия, Бахавалпур, Садиг Мухаммад  хан V ; 1907-1947 ;  ; Cu ; VF ; 20 ; Недорого ; 176 
 3256 ; 2 злотых. Польша ; 1934 ;  ; Ag ; VF- ; 34 ; SSS200 ; 159 
 3257 ; 5 пфеннигов. Германия ; 1939А ;  ; Al/Br ; F-VF ; 41 ; sibtec ; 201 
 3258 ; 2 пфеннига. Германия ; 1912А ;  ; Cu ; VF ; 15 ; westof ; 41 
 3259 ; 2 пфеннига. Германия ; 1937D ;  ; Cu ; VF ; 33 ; sibtec ; 91 
 3260 ; 2 пфеннига. Германия ; 1938A ;  ; Cu ; VF- ; 31 ; Ghjcnj ; 74 
 3261 ; 1 пфенниг. Германия ; 1898А ;  ; Cu ; VF ; 13 ; vladimir-sirke ; 62 
 3262 ; 1 пфенниг. Германия ; 1906А ;  ; Cu ; VF ; 14 ; 206811 ; 72 
 3263 ; 1 пфенниг. Германия ; 1911Е ;  ; Cu ; VF+ ; 12 ; 206811 ; 72 
 3264 ; 1 пфенниг. Германия ; 1912Е ;  ; Cu ; VF ; 23 ; vladimir-sirke ; 57 
 3265 ; 1 пфенниг. Германия ; 1913F ;  ; Cu ; VF ; 10 ; 542 ; 72 
 3266 ; 1 пфенниг. Германия ; 1915A ;  ; Cu ; F-VF ; 9 ; vladimir-sirke ; 51 
 3267 ; 1 пфенниг. Германия ; 1937J ;  ; Cu ; F-VF ; 20 ; sibtec ; 82 
 3268 ; 1 пфенниг. Германия ; 1937A ;  ; Cu ; F-VF ; 18 ; SSS200 ; 70 
 3269 ; 1 пфенниг. Германия ; 1938A ;  ; Cu ; F-VF ; 21 ; Alex75 ; 63 
 3270 ; 1 пфенниг. Германия ; 1938G ;  ; Cu ; VF+ ; 62 ; sibtec ; 187 
 3271 ; 1 пфенниг. Германия ; 1939A ;  ; Cu ; F ; 8 ; www62 ; 72 
 3272 ; 1 пфенниг. Германия ; 1941A ;  ; Zn ; F ; 19 ; www62 ; 38 
 3273 ; 50 динаров. Югославия ; 1938 ;  ; Ag ; F-VF ; 10 ; Mike! ; 463 
 3274 ; 25 центов. Канада ; 1918 ;  ; Ag ; F-VF ; 23 ; Searcher ; 197 
 3275 ; 1 тугрик. Монголия. 60 лет народной республике ; 1984 ;  ; Al/Br ; AU ; 6 ; Mike! ; 314 
 3276 ; 1 тугрик. Монголия. 60 лет народной республике ; 1984 ;  ; Al/Br ; XF ; 2 ; Mike! ; 313 
 3277 ; 100 лева. Болгария. Защита диких животных ; 1993 ;  ; Ag ; Proof ; 27 ; Mike! ; 639 
 3278 ; 100 лева. Болгария. Защита диких животных ; 1992 ;  ; Ag ; Proof ; 29 ; 100924 ; 937 
 3279 ; 1 тугрик. Монголия. 60 лет революции ; 1986 ;  ; Al/Br ; XF ; 6 ; Mike! ; 314 
 3280 ; 2 песо. Аргентина ; 2007 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 99 
 3281 ; 2 песо. Аргентина ; 2010 ;  ; Cu-Ni ; AU ; 4 ; Mike! ; 67 
 3282 ; 3 евро. Словения. 20 лет незвисимости ; 2011 ;  ; Би/м ; AU ; 7 ; vova10 ; 243 
 3283 ; 50 центов. Австралия. День Австралии ; 2010 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 123 
 3284 ; 20 центов. Австралия. 100 лет Австралийскому налоговому управлению ; 2010 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 113 
 3285 ; 20 центов. Австралия. Международный день женщин ; 2011 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 113 
 3286 ; 10 юаней. Тайвань ;  ;  ; Cu-Ni ; AU ; 18 ; patap100 ; 101 
 3287 ; 10 юаней. Тайвань ; 2001 ;  ; Cu-Ni ; AU ; 25 ; patap100 ; 135 
 3288 ; 25 пфеннигов. Германия. Нотгельд. Мюнстер ; 1917 ;  ; Zn ; F-VF ; 3 ; derbnik ; 153 
 3289 ; 10 пфеннигов. Германия. Нотгельд. Франкфурт на Майне. Отверстие ; 1917 ;  ; Zn ; F-VF ; 2 ; Mike! ; 150 
 3290 ; 2 лева. Болгария ; 1925 ;  ; Cu-Ni ; F-VF ; 2 ; Mike! ; 100 
 3291 ; 500 лева. Болгария. Атлантическая солидарность ; 1997 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 150 
 3292 ; 50 лева. Болгария ; 1989 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 150 
 3293 ; 50 лева. Болгария. 100 лет гимнастике в Болгарии ; 1994 ;  ; Cu-Ni ; Proof ; 3 ; dryupa81 ; 153 
 3294 ; 5 лева. Болгария. 100 лет со дня рождения Владимира Димитрова ; 1982 ;  ; Cu-Ni ; Proof ; 25 ; yuri.gruzdev ; 252 
 3295 ; 5 лева. Болгария. Вторая международная ассамблея ; 1982 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 150 
 3296 ; 5 лева. Болгария. ЭКСПО 85. Пловдив ; 1985 ;  ; Cu-Ni ; Proof ; 25 ; yuri.gruzdev ; 251 
 3297 ; 5 лева. Болгария. Международная детская ассамблея ; 1985 ;  ; Cu-Ni ; Proof ; 25 ; yuri.gruzdev ; 251 
 3298 ; 5 лева. Болгария. XXIII Генеральная конференция ; 1985 ;  ; Cu-Ni ; Proof ; 25 ; yuri.gruzdev ; 251 
 3299 ; 5 лева. Болгария. Софроний Врачански ; 1989 ;  ; Cu-Ni ; Proof ; 25 ; yuri.gruzdev ; 252 
 3300 ; 5 лева. Болгария. 200 лет со дня рождения Васила Априлова ; 1989 ;  ; Cu-Ni ; Proof ; 17 ; yuri.gruzdev ; 211 
 3201 ; 3 цента. США ; 1865 ;  ; Cu-Ni ; F ; 76 ; cochu ; 239 
 3202 ; 1 франк. Бельгийское Конго ; 1926 ;  ; Cu-Ni ; F ; 53 ; vc57 ; 123 
 3203 ; 1 пфенниг ?. Германия. Нотгельд. Флинсбург ; 1917 ;  ; Fe ; F ; 44 ; Опятор ; 75 
 3204 ; 10 пфеннигов. Германия. Нотгельд. Вайсенфельс ; 1918 ;  ; Fe ; F ; 63 ; 206811 ; 388 
 3205 ; 1 эре. Норвегия ; 1942 ;  ; Fe ; F-VF ; 13 ; ADD ; 40 
 3206 ; 20 хеллеров. Австрия ; 1918 ;  ; Fe ; F-VF ; 26 ; Юбер ; 37 
 3207 ; 5 центов. Нидерланды ; 1943 ;  ; Zn ; F-VF ; 48 ; DM2713 ; 164 
 3208 ; 10 лир. Италия ; 1950R ;  ; Al ; F-VF ; 17 ; 542 ; 104 
 3209 ; 50 сентаво. Португалия ; 1926 ;  ; Br ; F-VF ; 69 ; дед морос ; 332 
 3210 ; 3 пенса. Великобритания ; 1944 ;  ; Ni-Лат ; F-VF ; 30 ; olga42 ; 27 
 3211 ; 1 соль. Перу ; 1943 ;  ; Al/Br ; F-VF ; 35 ; micha375 ; 113 
 3212 ; 1 соль. Перу ; 1956 ;  ; Al/Br ; F-VF ; 13 ; ADD ; 32 
 3213 ; 1/2 пенни. Великобритания ; 1806 ;  ; Cu ; F ; 42 ; dgekson ; 288 
 3214 ; 1/6 талера. Пруссия ; 1764E ;  ; Биллон ; F+ ; 52 ; micha375 ; 420 
 3215 ; 10 сентимов. Токен. Франция ; 1916 ;  ; Al ; F+ ; 46 ; Ромбор ; 149 
 3216 ; 1 деб (1/2 рупии). Бутан ; ND ;  ; Cu ; F ; 38 ; maymuse ; 204 
 3217 ; 1/2 франка. Швейцария ; 1901 ;  ; Ag ; F ; 15 ; WikiLeaks ; 74 
 3218 ; 1 франк. Франция ; 1808 ;  ; Ag ; F+ ; 68 ; Павлов75 ; 1377 
 3219 ; 1/10 гульдена. Нидерландское Кюрасао ; 1944D ;  ; Ag ; F-VF ; 29 ; каспер ; 99 
 3220 ; 10 центов. Канада ; 1913 ;  ; Ag ; F ; 31 ; С Урала ; 59 
 3221 ; 25 сентаво. Доминикана ; 1952 ;  ; Ag ; F-VF ; 32 ; bu ; 208 
 3222 ; 1/2 доллара. США ; 1942 ;  ; Ag ; F-VF ; 78 ; ML ; 485 
 3223 ; 1/4 гульдена. Нидерландское Кюасао ; 1944D ;  ; Ag ; F-VF ; 31 ; pissimist ; 89 
 3224 ; 10 сентаво. Филиппины ; 1945D ;  ; Ag ; F-VF ; 16 ; ML144 ; 81 
 3225 ; 10 сентаво. Филиппины ; 1941D ;  ; Ag ; F-VF ; 42 ; CVV68 ; 102 
 3226 ; 50 эре. Швеция ; 1875 ;  ; Ag ; F ; 29 ; dsp ; 211 
 3227 ; 10 центов. Канада ; 1958 ;  ; Ag ; F-VF ; 72 ; 542 ; 102 
 3228 ; 5 гирш. Судан ; 1956 ;  ; Ag ; F-VF ; 22 ; aurin1 ; 276 
 3229 ; 4 пенса. Великобритания ; 1849 ;  ; Ag ; F-VF ; 89 ; Harder ; 636 
 3230 ; 2 пенса. Великобритания ; 1838 ;  ; Ag ; F-VF ; 81 ; Павлов75 ; 623 
 3231 ; 1 пенни. Великобритания ; 1856 ;  ; Ag ; F-VF ; 34 ; Павлов75 ; 1061 
 3232 ; 25 эре. Швеция ; 1919 ;  ; Ag ; F-VF ; 15 ; ML144 ; 69 
 3233 ; 2 пиастра. Египет ; 1937 (1356г.х.) ;  ; Ag ; F-VF ; 54 ; барсик ; 219 
 3234 ; 20 центов. Китай. Провинция Хупен ; ND ;  ; Ag ; F ; 132 ; прохожий ; 429 
 3235 ; 50 чентезимо. Италия ; 1863 ;  ; Ag ; F-VF ; 66 ; riga1979 ; 255 
 3236 ; 1 франк. Франция ; 1871A ;  ; Ag ; F-VF ; 87 ; митяй ; 334 
 3237 ; 50 сантимов. Франция ; 1865 ;  ; Ag ; F-VF ; 39 ; Юбер ; 188 
 3238 ; 2 франка. Франция ; 1943 ;  ; Al ; F-VF ; 24 ; ML144 ; 20 
